lon,lat,itu_zone
-149.3778,61.1889,01
-119.8111,51.2667,02
-100.3111,53.8389,03
-77.5722,45.7056,04
-46.0278,67.9111,05
-118.4278,39.4222,06
-97.1167,36.5056,07
-80.8333,38.1389,08
-63.2611,46.6833,09
-105.1889,25.4667,10
-74.0333,16.9778,11
-69.7611,5.4389,12
-42.8556,-8.2944,13
-61.7889,-33.8889,14
-47.2778,-23.6556,15
-68.3056,-46.5333,16
-21.3722,64.3389,17
15.6444,59.7556,18
34.6667,63.9889,19
62.4944,64.9444,20
79.7278,64.8556,21
100.0333,68.4833,22
123.4722,66.3611,23
144.4778,67.5611,24
163.0056,65.3500,25
-178.4556,70.8667,26
1.2667,50.9278,27
13.5611,47.6556,28
36.5056,51.5000,29
61.2111,54.2333,30
83.4056,53.0000,31
97.6500,54.5333,32
125.1500,50.5833,33
135.3278,46.5722,34
158.1944,53.1056,35
-18.4722,30.6667,36
-2.8278,39.8944,37
27.1889,28.4444,38
36.2444,34.3500,39
61.7833,33.4667,40
77.4778,16.6111,41
84.8167,37.7722,42
103.1667,32.2056,43
120.0111,32.6167,44
137.2833,35.6833,45
-8.5722,11.6056,46
12.9000,6.3333,47
35.9889,7.6056,48
101.3389,14.4167,49
121.6944,13.0833,50
138.6444,-4.4167,51
17.7000,-3.1889,52
49.7944,-18.9000,53
108.9778,-3.3667,54
149.4778,-24.6944,55
170.8000,-19.8833,56
25.7667,-28.4333,57
116.8333,-31.4889,58
146.6611,-35.5667,59
172.5111,-40.1056,60
-157.1778,20.7389,61
-172.5778,-14.9722,62
-146.7611,-19.4889,63
141.7111,11.9833,64
168.1056,2.5333,65
-7.6556,-15.8389,66
6.4278,-72.6944,67
75.4333,-39.6111,68
71.8167,-72.3222,69
128.2444,-73.8556,70
-171.4778,-70.1333,71
-104.5833,-76.5000,72
-58.5833,-69.5667,73
-6.0556,-85.1056,74
8.2000,81.1611,75
